PIB Municipal - serviços - administração pública - valor adicionado - preços básicos
Sigla,Código,Município,1970,1975,1980,1985,1996,
AC,1200013,Acrelândia,,,,,10762.8571549486,
AC,1200054,Assis Brasil,,,562.0689198911,556.6675244369,10560.4511933963,
AC,1200104,Brasiléia,5541.9626633156,8743.9452822011,6864.8542390323,12128.3178873108,71004.892547705,
AC,1200138,Bujari,,,,,20866.4324140552,
AC,1200179,Capixaba,,,,,14770.8493777133,
AC,1200203,Cruzeiro do Sul,28796.6564658904,23646.3031048493,29652.9829514745,29357.9962862335,91920.5306294864,
AC,1200252,Epitaciolândia,,,,,47090.668615479,
AC,1200302,Feijó,1641.3087829355,1629.2634488297,2646.7967501877,3940.1438278987,17640.8112072735,
AC,1200328,Jordão,,,,,3987.2440928135,
AC,1200336,Mâncio Lima,,,2124.0025622564,1094.0419361742,14101.3437253488,
AC,1200344,Manoel Urbano,,,357.7707085039,1150.0265473163,8118.747647942,
AC,1200351,Marechal Thaumaturgo,,,,,13585.8560480685,
AC,1200385,Plácido de Castro,,,4008.5806508596,1984.1496856375,20647.0092631631,
AC,1200393,Porto Walter,,,,,8542.8303750532,
AC,1200401,Rio Branco,130012.386115275,121724.740233544,254677.52317239,307100.684218401,1164454.7971186,
AC,1200427,Rodrigues Alves,,,,,13780.3796998724,
AC,1200435,Santa Rosa do Purus,,,,,2401.7961791827,
AC,1200450,Senador Guiomard,,,3939.3339214131,8506.0816038467,24364.8700337136,
AC,1200500,Sena Madureira,4196.9579014577,13310.092640225,8043.7470064107,16037.2012311856,33119.1185492272,
AC,1200609,Tarauacá,4944.2905160733,4020.8177806615,5351.2231225748,6219.0964603136,23776.0859092463,
AC,1200708,Xapuri,2195.2356819751,12739.8540041857,3992.1851468932,6118.8923585206,64700.69606855,
AC,1200807,Porto Acre,,,,,42363.7932893007,
AL,2700102,Água Branca,946.0832716778,1746.6733062852,3424.4942224142,6315.3646329134,7069.873098542,
AL,2700201,Anadia,475.6586155107,793.1878604533,1404.6210909077,3936.8521000343,13203.6439622047,
AL,2700300,Arapiraca,8090.7987382759,14317.3420510543,28236.6837380638,93174.6699401235,181418.864632182,
AL,2700409,Atalaia,5083.7086140755,4673.4948404821,4562.5256633005,11370.9455254398,19277.9284801304,
AL,2700508,Barra de Santo Antônio,2483.4234678149,3313.3629610956,4694.5036436435,7851.6078902155,5354.6960748808,
AL,2700607,Barra de São Miguel,69.6658036756,111.7577011671,190.3871808759,944.3998094334,4286.6109605619,
AL,2700706,Batalha,1516.6750807982,1636.0618290335,1874.1714085421,5533.7308727688,14943.9677262531,
AL,2700805,Belém,224.6992890574,412.1397805953,802.767548163,1856.923448804,4013.3115006413,
AL,2700904,Belo Monte,651.9889009798,626.2962893195,638.8838494249,454.1976596913,977.6686305406,
AL,2701001,Boca da Mata,975.5017328153,1667.4634288216,3026.8229983598,5355.2778797594,9852.7581653246,
AL,2701100,Branquinha,725.1740911105,1034.217118273,1566.3312026643,2408.3283554921,3018.6463329723,
AL,2701209,Cacimbinhas,714.7061724234,1999.1909258822,1109.4019685621,774.390177628,8460.989833248,
AL,2701308,Cajueiro,1446.7385550876,2211.7053543544,3590.5991049292,5966.0708142077,7164.0570963214,
AL,2701357,Campestre,,,,,,
AL,2701407,Campo Alegre,1110.7725096414,1270.2677581334,755.480132113,5619.4125131683,12481.2735314591,
AL,2701506,Campo Grande,83.3823867826,348.2204449536,1544.3176848753,3016.030703057,4323.2889137668,
AL,2701605,Canapi,460.2274595152,409.0839206831,386.148833212,1053.2574684381,1980.1427613126,
AL,2701704,Capela,1845.7828346907,2554.1125648308,3753.2016565961,5856.6811623569,9765.4591151261,
AL,2701803,Carneiros,541.6245513745,386.7000498217,293.1922921493,897.3510149041,2595.6536889152,
AL,2701902,Chã Preta,549.0242869981,304.807358188,179.7056667487,856.0740555689,4870.9493193369,
AL,2702009,Coité do Nóia,661.464172205,756.8018515327,919.5185204357,2044.8908922685,4268.1920884018,
AL,2702108,Colônia Leopoldina,1993.5068251272,1953.3970431019,2032.6647702216,2212.7431536054,4949.5724922156,
AL,2702207,Coqueiro Seco,617.3364804985,909.9461435943,1424.3340969276,6396.5053374536,16587.2778023602,
AL,2702306,Coruripe,1451.701792396,2983.5688552696,5397.6471330137,18915.251453963,23729.7332454448,
AL,2702355,Craíbas,,,,449.8700266162,2779.2916549333,
AL,2702405,Delmiro Gouveia,3828.2802970608,5361.3709796099,7973.5261942702,13526.305144439,20516.7900226693,
AL,2702504,Dois Riachos,422.326374614,718.082912225,1296.5922313591,3190.5089549268,5902.5371491114,
AL,2702553,Estrela de Alagoas,,,,,14904.1561647655,
AL,2702603,Feira Grande,494.5189172829,752.3005078776,1215.3524347195,2301.760407063,5857.9060898495,
AL,2702702,Feliz Deserto,255.2006383351,83.9853919627,29.3513570516,242.8933159436,2001.8486142851,
AL,2702801,Flexeiras,797.1861524228,1317.0120974113,2310.5864239047,4058.4434318298,7393.8525123355,
AL,2702900,Girau do Ponciano,366.6478760804,392.2700923481,445.680524832,1898.8581673444,8254.9421119909,
AL,2703007,Ibateguara,728.242274174,999.2949957264,1456.1763529292,2584.0581463484,4714.7796450225,
AL,2703106,Igaci,1490.6857654374,989.4296756403,1603.8533428952,183.8492543238,7242.396756038,
AL,2703205,Igreja Nova,751.7048505413,533.2230963391,401.6733212526,2955.0359568481,11106.4682680579,
AL,2703304,Inhapi,204.3048957534,358.2246766508,667.0135553993,1943.9625637252,3397.2519043219,
AL,2703403,Jacaré dos Homens,627.7141585073,598.0688242443,605.1218560164,1663.6640993292,3187.5480529102,
AL,2703502,Jacuípe,524.7495445256,424.9337531329,365.4204288939,1830.4135442562,5907.9797836645,
AL,2703601,Japaratinga,540.9928666262,200.6261096246,79.0106800634,566.3671237676,3472.3942946759,
AL,2703700,Jaramataia,535.8491479609,268.9182634714,143.3179168038,801.6326352583,4137.4552891098,
AL,2703759,Jequiá da Praia,,,,,,
AL,2703809,Joaquim Gomes,890.6754951792,1393.441025879,2315.0486234564,5053.2036367819,9546.0792338303,
AL,2703908,Jundiá,786.5377523792,1221.4707782741,2014.4153656546,4666.3668588226,9000.2973559978,
AL,2704005,Junqueiro,1093.7170214359,1384.9395911661,3082.0075160164,3524.7465105663,8881.8576848856,
AL,2704104,Lagoa da Canoa,144.385085338,1896.8116538299,2475.0333513863,3994.0509665799,5422.5152840621,
AL,2704203,Limoeiro de Anadia,416.3704898437,578.3719086957,853.1725543,1671.7179613083,6485.5330621434,
AL,2704302,Maceió,329572.132423197,477878.201315366,735845.085677364,1806042.95147914,2890118.64830203,
AL,2704401,Major Isidoro,703.7870503449,1010.5832728968,1541.0097076077,3108.1761014671,3210.4189800122,
AL,2704500,Maragogi,485.4948494493,810.6332908707,1437.3637196188,3988.7815233411,9103.9527320604,
AL,2704609,Maravilha,1161.3975301882,943.4657582083,813.9051982443,3976.3677345975,9451.7132343002,
AL,2704708,Marechal Deodoro,954.204932728,2196.7089794432,5370.3900349518,16111.0152904994,48081.5664794871,
AL,2704807,Maribondo,1492.761301039,1352.2364493571,1300.8204133343,3828.1079729552,10619.322844347,
AL,2704906,Mar Vermelho,52.7907968267,179.6058294012,648.9109076177,1274.9889891601,2174.5393429517,
AL,2705002,Mata Grande,855.4816306282,1069.5142962568,1419.9234605707,5268.8104146884,12670.1892694239,
AL,2705101,Matriz de Camaragibe,2742.0532519267,2980.3507463884,3440.0226768545,6730.539192076,12492.1478367146,
AL,2705200,Messias,166.0428481389,416.3845613255,1108.846672618,1613.0820602698,3860.1229594533,
AL,2705309,Minador do Negrão,85.2774410278,1280.1951884016,690.4153130487,80.1124335162,5219.384701475,
AL,2705408,Monteirópolis,48.7299663016,83.9918128641,153.7376485572,327.4632705027,1444.2451363619,
AL,2705507,Murici,1888.3764348654,3301.8206816168,6130.8519649642,11895.204762871,15878.4228836172,
AL,2705606,Novo Lino,3316.7058915722,2443.3730193741,1911.503161592,11004.1756075309,15556.0878911354,
AL,2705705,Olho d'Água das Flores,1806.979343006,2742.2776415535,4419.4893608684,8265.3744750256,11219.7787246459,
AL,2705804,Olho d'Água do Casado,152.5969870666,183.8679030188,235.2709587673,933.127477353,2408.9769279789,
AL,2705903,Olho d'Água Grande,693.7703350494,597.9906885264,547.3631450182,762.9678663317,1081.8131356785,
AL,2706000,Olivença,435.9527170427,351.7448810497,301.3829073265,778.281312265,2972.7510828773,
AL,2706109,Ouro Branco,564.0042396018,525.594511831,520.1417445525,2181.5789104744,6445.5075799792,
AL,2706208,Palestina,300.5014588599,240.7833711917,204.8843714196,757.2048393764,2184.7921862873,
AL,2706307,Palmeira dos Índios,10717.2536812538,10335.8631189061,15292.671815872,47466.6064091007,66110.5784165676,
AL,2706406,Pão de Açúcar,2400.1313217106,3279.6496509896,4759.0726627577,11600.2077215082,15375.638328449,
AL,2706422,Pariconha,,,,,3260.966024781,
AL,2706448,Paripueira,,,,,4160.9330804481,
AL,2706505,Passo de Camaragibe,914.3185529033,1293.7452436714,1944.027638325,4812.6412600818,5228.6594493836,
AL,2706604,Paulo Jacinto,1395.6623311491,1952.3806344792,2900.3543470635,2714.7856826394,2361.0963610656,
AL,2706703,Penedo,6591.8108304315,8759.9990648065,12362.486177405,26658.7273556021,50511.5501733653,
AL,2706802,Piaçabuçu,730.4982911323,953.2484779416,1320.9776561096,3366.9614231085,11546.0567453158,
AL,2706901,Pilar,3806.2615715467,3695.4005417332,3810.0163644891,11541.5923306491,27263.6306889992,
AL,2707008,Pindoba,417.814340697,284.0429130959,205.0628594018,393.0645028046,1204.6246749961,
AL,2707107,Piranhas,473.7635612655,369.2182513479,305.5674589061,1357.941713711,11546.9990348183,
AL,2707206,Poço das Trincheiras,242.0254992979,187.1480948374,153.6781525631,542.1273743664,2728.424331717,
AL,2707305,Porto Calvo,2854.9443405255,2850.6758068236,3022.7376067702,5166.8485650552,7054.6207372245,
AL,2707404,Porto de Pedras,1595.0942302724,1361.2454479768,1233.6415032823,2981.5789768765,3804.2275058343,
AL,2707503,Porto Real do Colégio,2768.944974071,2966.7151367945,3375.5131537343,7348.503455875,11364.026536611,
AL,2707602,Quebrangulo,1126.203665637,964.9941381263,878.0815437979,2577.1674138006,3671.402070774,
AL,2707701,Rio Largo,11705.7500717495,12645.5642564699,14507.0668787849,31012.0982829381,53149.2258353195,
AL,2707800,Roteiro,15.1604339606,55.7739430706,217.8981285124,753.0973595549,2353.7091310442,
AL,2707909,Santa Luzia do Norte,133.5562039378,344.9231391031,945.9823385773,2893.0204949147,6367.2960658761,
AL,2708006,Santana do Ipanema,5829.9087832383,8517.3287316387,13214.4013830314,24352.3251942964,27249.7291971587,
AL,2708105,Santana do Mundaú,2001.2675234642,1434.767587908,1092.3464502754,3019.5330012101,5687.7790469958,
AL,2708204,São Brás,1081.8052518955,925.6588052241,841.1146995111,2261.420792431,4867.1283321649,
AL,2708303,São José da Laje,1902.5442213643,3390.0978971587,6414.9334372288,13116.4191585534,21277.1543134746,
AL,2708402,São José da Tapera,1176.5579641488,1690.056942987,2578.0526482381,3728.954162601,5041.4290378806,
AL,2708501,São Luís do Quitunde,2772.4643605261,3287.6732472344,4140.1279041298,12230.048757566,23006.4287578149,
AL,2708600,São Miguel dos Campos,3550.6097298201,5027.5276101209,7559.7672534317,26343.6739424244,50163.2300577701,
AL,2708709,São Miguel dos Milagres,414.2047135637,425.1343006172,463.3825662539,1482.9825352462,4319.7428724607,
AL,2708808,São Sebastião,672.2930536055,669.6983248336,708.4386328382,1695.7576454062,4939.4924833892,
AL,2708907,Satuba,1433.8341380855,1677.4188061399,2083.9463506704,4481.8497315712,10337.4176368323,
AL,2708956,Senador Rui Palmeira,,,,343.283410519,5343.6019103754,
AL,2709004,Tanque d'Arca,480.4413714625,390.0810900025,336.3348206156,1218.3481660254,3729.6833553658,
AL,2709103,Taquarana,1181.5212014572,1026.3550493163,946.7954504957,3455.9735515097,6955.8878740873,
AL,2709152,Teotônio Vilela,,,,,12472.8620717373,
AL,2709202,Traipu,1519.1115791134,1632.1831898552,1862.3039409341,4395.4183603217,8175.6614034742,
AL,2709301,União dos Palmares,5515.5102599145,7279.9691935276,10204.1262038095,24826.4870236456,43816.5980021367,
AL,2709400,Viçosa,2743.4971027802,3748.493799783,5438.9056216693,9927.4368029458,16833.7794860166,
AM,1300029,Alvarães,,,,0.157433326,11012.4879746072,
AM,1300060,Amaturá,,,,408.7608922204,5460.1452767483,
AM,1300086,Anamã,,,,0.0119649094,3516.3388159391,
AM,1300102,Anori,989.1711100578,1559.2006670775,2717.5216533938,125.0959081544,5255.2052318972,
AM,1300144,Apuí,,,,,11030.5976536445,
