Cod;Municipio;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
1100015;Alta Floresta D'Oeste;361037;407239;459136;410516;388331;413596;494659;475804;447533;442223;480543;463702;475910;493378;518052;507184;499306
1100023;Ariquemes;1458516;1534408;1734233;1839831;1818978;1956421;2115681;2097902;2330404;2604191;2488149;2445165;2420538;2386436;2366300;2390718;2463773
1100031;Cabixi;103058;116537;114505;120679;107855;106263;120381;129189;118870;121732;145444;130915;142946;136508;144449;144316;140502
1100049;Cacoal;1539131;1769846;1642459;1864244;1709698;1761227;1845220;1824594;2026103;1984847;2004819;1947127;2091907;2101487;2109490;2176351;2180454
1100056;Cerejeiras;256847;284293;320266;317127;286213;309650;332752;353451;379132;410113;521881;479930;494324;465783;442196;458983;472179
1100064;Colorado do Oeste;283059;293904;302979;310807;291401;298042;311993;322468;329733;325428;324332;329808;344852;334195;332051;343133;330428
1100072;Corumbiara;146519;162882;177618;174241;158583;156243;190721;220744;195982;229242;256859;229159;235396;223567;256335;347759;320628
1100080;Costa Marques;121030;145003;142247;154713;139896;160401;180749;184878;183713;189208;195838;203426;212390;219192;223269;222445;230164
1100098;Espigão D'Oeste;387058;436251;476777;499263;449216;476464;527749;539689;532421;547960;549402;579478;582468;566761;588576;591811;608398
1100106;Guajará-Mirim;566676;703028;797690;804794;749184;808579;976197;964813;1021453;1127804;753863;822092;813955;799216;802023;810029;836882
1100114;Jaru;993201;1096156;1108649;1399318;1412509;1499432;1408379;1336855;1361494;1358346;1467738;1454216;1424283;1414630;1423370;1415608;1476627
1100122;Ji-Paraná;2132658;2200902;2463296;2618485;2554467;2717519;2972732;3037063;3168283;3241624;3386476;3226252;3339752;3227224;3234487;3199761;3362336
1100130;Machadinho D'Oeste;271945;368154;413621;458540;385148;396959;465913;471087;464821;475774;515656;538874;535104;529260;555628;614169;642103
1100148;Nova Brasilândia D'Oeste;213266;255398;238998;268424;248854;301651;332249;304348;296533;297945;315439;313382;324062;319207;333396;360947;370024
1100155;Ouro Preto do Oeste;621903;691294;699279;711550;665279;689688;796604;740018;815399;800529;771123;755948;756740;741355;770357;796358;808667
1100189;Pimenta Bueno;585028;645466;697376;756886;717463;728218;834449;873669;923597;950205;1004424;1026431;1055527;1061522;1084038;1097895;1131158
1100205;Porto Velho;7544669;7862192;8940757;9336554;9416723;9671440;10466128;12667733;15528967;17560997;17483323;15894472;16115267;16360472;15980025;17737388;16647158
1100254;Presidente Médici;303263;333285;344404;361027;349421;344772;390523;400279;402301;394928;406409;397557;421635;420773;420654;428566;417601
1100262;Rio Crespo;50442;60221;58986;60671;62658;61969;73952;74198;71608;76034;81942;86582;94096;91956;98476;110002;106521
1100288;Rolim de Moura;750258;819537;883669;953512;938225;1007219;1173282;1057191;1072138;1192312;1234843;1258125;1291136;1267583;1297457;1363121;1317091
1100296;Santa Luzia D'Oeste;149374;161847;153552;153539;151760;151207;170242;166322;168745;172415;178835;170716;167421;159208;161688;159975;146645
1100304;Vilhena;1454191;1668006;1841257;1970097;1878164;1979889;2281631;2305069;2471273;2351308;2625923;2732715;2676426;2559377;2623577;2637116;2769483
1100320;São Miguel do Guaporé;239209;308155;336068;336613;338756;343373;382966;434698;554088;490718;487705;537176;517887;531729;557472;661548;711451
1100338;Nova Mamoré;166554;197211;244706;279789;267186;289777;327453;339450;373001;393129;405687;418867;430061;444806;454481;483956;508702
1100346;Alvorada D'Oeste;216928;248671;257000;258262;248108;232252;253513;272066;274399;275215;269353;259668;258889;258214;263891;263587;256509
1100379;Alto Alegre dos Parecis;149679;172354;182321;187611;191696;195741;218107;228297;204872;213916;302854;248897;266064;248688;249191;342740;278480
1100403;Alto Paraíso;146178;196796;198294;199657;203288;231817;262299;272140;259962;278510;300723;290814;293516;302400;311064;321275;328751
1100452;Buritis;317745;391936;426976;476363;462444;486601;538208;538343;574219;600412;589752;580758;599564;608394;630154;679192;680976
