"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Rendimento nominal total (operação: Soma)";"Freqüência";"Observações"
"9115";"Município (1991)";"310010";"Abadia dos Dourados";"1";"1991";"8004";"1991";"170.196.910";"6492";"1245"
"9115";"Município (1991)";"520010";"Abadiânia";"2";"1991";"8004";"1991";"258.072.532";"9402";"1843"
"9115";"Município (1991)";"310020";"Abaeté";"3";"1991";"8004";"1991";"562.188.625";"20689";"2210"
"9115";"Município (1991)";"150010";"Abaetetuba";"4";"1991";"8004";"1991";"1.798.024.798";"99989";"10046"
"9115";"Município (1991)";"230010";"Abaiara";"5";"1991";"8004";"1991";"69.802.679";"7889";"1654"
"9115";"Município (1991)";"290010";"Abaíra";"6";"1991";"8004";"1991";"124.331.969";"8754";"1918"
"9115";"Município (1991)";"290020";"Abaré";"7";"1991";"8004";"1991";"172.235.846";"11449";"2318"
"9115";"Município (1991)";"410010";"Abatiá";"8";"1991";"8004";"1991";"258.014.227";"10238";"1960"
"9115";"Município (1991)";"420005";"Abdon Batista";"9";"1991";"8004";"1991";"60.434.221";"3245";"709"
"9115";"Município (1991)";"420010";"Abelardo Luz";"10";"1991";"8004";"1991";"449.073.108";"19236";"2049"
"9115";"Município (1991)";"310030";"Abre Campo";"11";"1991";"8004";"1991";"273.257.392";"18961";"1759"
"9115";"Município (1991)";"260005";"Abreu e Lima";"12";"1991";"8004";"1991";"1.701.936.718";"77035";"7621"
"9115";"Município (1991)";"310040";"Acaiaca";"13";"1991";"8004";"1991";"79.365.059";"3589";"700"
"9115";"Município (1991)";"210005";"Açailândia";"14";"1991";"8004";"1991";"2.096.458.067";"83820";"8587"
"9115";"Município (1991)";"290030";"Acajutiba";"15";"1991";"8004";"1991";"176.625.512";"12894";"2660"
"9115";"Município (1991)";"150020";"Acará";"16";"1991";"8004";"1991";"895.768.394";"37184";"3610"
"9115";"Município (1991)";"230015";"Acarapé";"17";"1991";"8004";"1991";"122.641.286";"10191";"2097"
"9115";"Município (1991)";"230020";"Acaraú";"18";"1991";"8004";"1991";"632.159.157";"45505";"4559"
"9115";"Município (1991)";"240010";"Acari";"19";"1991";"8004";"1991";"205.643.173";"10983";"2243"
"9115";"Município (1991)";"230030";"Acopiara";"20";"1991";"8004";"1991";"546.329.072";"49259";"5070"
"9115";"Município (1991)";"510010";"Acorizal";"21";"1991";"8004";"1991";"96.378.440";"5308";"1414"
"9115";"Município (1991)";"520013";"Acreúna";"22";"1991";"8004";"1991";"490.313.192";"14059";"1586"
"9115";"Município (1991)";"240020";"Açu";"23";"1991";"8004";"1991";"902.708.512";"43591";"4561"
"9115";"Município (1991)";"310050";"Açucena";"24";"1991";"8004";"1991";"402.269.523";"24849";"2562"
"9115";"Município (1991)";"350010";"Adamantina";"25";"1991";"8004";"1991";"1.758.545.700";"32091";"3200"
"9115";"Município (1991)";"520015";"Adelândia";"26";"1991";"8004";"1991";"73.616.296";"2339";"497"
"9115";"Município (1991)";"350020";"Adolfo";"27";"1991";"8004";"1991";"122.367.168";"3272";"600"
"9115";"Município (1991)";"410020";"Adrianópolis";"28";"1991";"8004";"1991";"204.119.279";"8935";"2039"
"9115";"Município (1991)";"290035";"Adustina";"29";"1991";"8004";"1991";"164.625.319";"13714";"2804"
"9115";"Município (1991)";"260010";"Afogados da Ingazeira";"30";"1991";"8004";"1991";"478.136.967";"29617";"3309"
"9115";"Município (1991)";"240030";"Afonso Bezerra";"31";"1991";"8004";"1991";"116.428.026";"10733";"1941"
"9115";"Município (1991)";"320010";"Afonso Cláudio";"32";"1991";"8004";"1991";"814.456.791";"40001";"4402"
"9115";"Município (1991)";"210010";"Afonso Cunha";"33";"1991";"8004";"1991";"34.278.794";"4580";"877"
"9115";"Município (1991)";"260020";"Afrânio";"34";"1991";"8004";"1991";"136.963.950";"13305";"1457"
"9115";"Município (1991)";"150030";"Afuá";"35";"1991";"8004";"1991";"288.169.345";"19595";"1746"
"9115";"Município (1991)";"260030";"Agrestina";"36";"1991";"8004";"1991";"298.600.658";"17993";"2038"
"9115";"Município (1991)";"220010";"Agricolândia";"37";"1991";"8004";"1991";"46.443.817";"5720";"1184"
"9115";"Município (1991)";"420020";"Agrolândia";"38";"1991";"8004";"1991";"216.441.845";"7181";"1471"
"9115";"Município (1991)";"420030";"Agronômica";"39";"1991";"8004";"1991";"111.300.690";"3772";"755"
"9115";"Município (1991)";"510020";"Água Boa";"40";"1991";"8004";"1991";"559.183.526";"16561";"1660"
"9115";"Município (1991)";"310060";"Água Boa";"41";"1991";"8004";"1991";"213.530.572";"15787";"1355"
"9115";"Município (1991)";"270010";"Água Branca";"42";"1991";"8004";"1991";"218.752.072";"26560";"2772"
"9115";"Município (1991)";"250010";"Água Branca";"43";"1991";"8004";"1991";"55.130.243";"8203";"1642"
"9115";"Município (1991)";"220020";"Água Branca";"44";"1991";"8004";"1991";"221.612.806";"16191";"1696"
"9115";"Município (1991)";"500020";"Água Clara";"45";"1991";"8004";"1991";"202.299.954";"6539";"1230"
