"Código do Nível Geográfico";"Nível Geográfico";"Código do Item Geográfico";"Item Geográfico";"Ordem Geográfica";"Código do Item Temporal";"Nível Temporal";"Item Temporal";"Total de rendimentos brutos (operação: Soma)";"Freqüência";"Observações"
"9035";"Município";"5200050";"Abadia de Goiás";"1";"2000";"8005";"2000";"975.424";"4971";"1024"
"9035";"Município";"3100104";"Abadia dos Dourados";"2";"2000";"8005";"2000";"1.194.737";"6446";"1548"
"9035";"Município";"5200100";"Abadiânia";"3";"2000";"8005";"2000";"1.923.252";"11452";"2533"
"9035";"Município";"3100203";"Abaeté";"4";"2000";"8005";"2000";"5.675.485";"22360";"2350"
"9035";"Município";"1500107";"Abaetetuba";"5";"2000";"8005";"2000";"12.187.142";"119152";"12078"
"9035";"Município";"2300101";"Abaiara";"6";"2000";"8005";"2000";"617.105";"8385";"1678"
"9035";"Município";"2900108";"Abaíra";"7";"2000";"8005";"2000";"911.709";"9067";"1999"
"9035";"Município";"2900207";"Abaré";"8";"2000";"8005";"2000";"1.115.598";"13648";"3199"
"9035";"Município";"4100103";"Abatiá";"9";"2000";"8005";"2000";"1.201.847";"8259";"1767"
"9035";"Município";"4200051";"Abdon Batista";"10";"2000";"8005";"2000";"420.464";"2775";"575"
"9035";"Município";"1500131";"Abel Figueiredo";"11";"2000";"8005";"2000";"1.171.089";"5957";"1173"
"9035";"Município";"4200101";"Abelardo Luz";"12";"2000";"8005";"2000";"3.965.663";"16440";"3350"
"9035";"Município";"3100302";"Abre Campo";"13";"2000";"8005";"2000";"2.122.167";"13348";"2826"
"9035";"Município";"2600054";"Abreu e Lima";"14";"2000";"8005";"2000";"11.543.107";"89039";"8941"
"9035";"Município";"1700251";"Abreulândia";"15";"2000";"8005";"2000";"196.824";"2189";"499"
"9035";"Município";"3100401";"Acaiaca";"16";"2000";"8005";"2000";"531.279";"3889";"924"
"9035";"Município";"2100055";"Açailândia";"17";"2000";"8005";"2000";"13.147.017";"88320";"8960"
"9035";"Município";"2900306";"Acajutiba";"18";"2000";"8005";"2000";"1.115.566";"14322";"2935"
"9035";"Município";"1500206";"Acará";"19";"2000";"8005";"2000";"4.265.211";"52126";"5214"
"9035";"Município";"2300150";"Acarapé";"20";"2000";"8005";"2000";"1.027.607";"12927";"2540"
"9035";"Município";"2300200";"Acaraú";"21";"2000";"8005";"2000";"3.955.338";"48968";"5018"
"9035";"Município";"2400109";"Acari";"22";"2000";"8005";"2000";"1.477.827";"11189";"2353"
"9035";"Município";"2200053";"Acauã";"23";"2000";"8005";"2000";"156.795";"5147";"1007"
"9035";"Município";"2300309";"Acopiara";"24";"2000";"8005";"2000";"4.251.464";"47137";"5625"
"9035";"Município";"5100102";"Acorizal";"25";"2000";"8005";"2000";"732.448";"5817";"1142"
"9035";"Município";"1200013";"Acrelândia";"26";"2000";"8005";"2000";"1.055.562";"7935";"1683"
"9035";"Município";"5200134";"Acreúna";"27";"2000";"8005";"2000";"4.603.256";"18301";"1958"
"9035";"Município";"2400208";"Açu";"28";"2000";"8005";"2000";"6.761.998";"47904";"4904"
"9035";"Município";"3100500";"Açucena";"29";"2000";"8005";"2000";"1.040.519";"11489";"2167"
"9035";"Município";"3500105";"Adamantina";"30";"2000";"8005";"2000";"11.840.849";"33497";"3471"
"9035";"Município";"5200159";"Adelândia";"31";"2000";"8005";"2000";"364.688";"2460";"558"
"9035";"Município";"3500204";"Adolfo";"32";"2000";"8005";"2000";"816.542";"3684";"753"
"9035";"Município";"4100202";"Adrianópolis";"33";"2000";"8005";"2000";"811.242";"7031";"1775"
"9035";"Município";"2900355";"Adustina";"34";"2000";"8005";"2000";"1.260.161";"14302";"2879"
"9035";"Município";"2600104";"Afogados da Ingazeira";"35";"2000";"8005";"2000";"4.662.744";"32922";"3582"
"9035";"Município";"2400307";"Afonso Bezerra";"36";"2000";"8005";"2000";"1.004.110";"10867";"1987"
"9035";"Município";"3200102";"Afonso Cláudio";"37";"2000";"8005";"2000";"5.908.055";"32232";"3250"
"9035";"Município";"2100105";"Afonso Cunha";"38";"2000";"8005";"2000";"215.090";"4680";"883"
"9035";"Município";"2600203";"Afrânio";"39";"2000";"8005";"2000";"1.093.070";"15269";"3800"
"9035";"Município";"1500305";"Afuá";"40";"2000";"8005";"2000";"2.212.842";"29505";"2978"
"9035";"Município";"2600302";"Agrestina";"41";"2000";"8005";"2000";"2.183.902";"20036";"2193"
"9035";"Município";"2200103";"Agricolândia";"42";"2000";"8005";"2000";"311.614";"5340";"1042"
"9035";"Município";"4200200";"Agrolândia";"43";"2000";"8005";"2000";"1.648.846";"7810";"1465"
"9035";"Município";"4200309";"Agronômica";"44";"2000";"8005";"2000";"1.112.307";"4257";"923"
"9035";"Município";"1500347";"Água Azul do Norte";"45";"2000";"8005";"2000";"3.024.022";"22084";"1888"
"9035";"Município";"3100609";"Água Boa";"46";"2000";"8005";"2000";"2.223.002";"17956";"2555"
"9035";"Município";"5100201";"Água Boa";"47";"2000";"8005";"2000";"5.630.565";"16737";"3515"
"9035";"Município";"2200202";"Água Branca";"48";"2000";"8005";"2000";"1.492.118";"14517";"3013"
"9035";"Município";"2500106";"Água Branca";"49";"2000";"8005";"2000";"618.417";"8377";"1836"
"9035";"Município";"2700102";"Água Branca";"50";"2000";"8005";"2000";"1.364.333";"19294";"2629"
"9035";"Município";"5000203";"Água Clara";"51";"2000";"8005";"2000";"2.838.996";"11015";"2211"
"9035";"Município";"3100708";"Água Comprida";"52";"2000";"8005";"2000";"545.678";"2092";"449"
"9035";"Município";"4200408";"Água Doce";"53";"2000";"8005";"2000";"1.994.631";"6843";"1239"
"9035";"Município";"2100154";"Água Doce do Maranhão";"54";"2000";"8005";"2000";"478.823";"9703";"2123"
"9035";"Município";"3200169";"Água Doce do Norte";"55";"2000";"8005";"2000";"1.630.288";"12835";"3122"
"9035";"Município";"2900405";"Água Fria";"56";"2000";"8005";"2000";"873.103";"14966";"3601"
"9035";"Município";"5200175";"Água Fria de Goiás";"57";"2000";"8005";"2000";"659.064";"4469";"704"
"9035";"Município";"5200209";"Água Limpa";"58";"2000";"8005";"2000";"467.508";"2200";"522"
"9035";"Município";"2400406";"Água Nova";"59";"2000";"8005";"2000";"125.707";"2678";"592"
"9035";"Município";"2600401";"Água Preta";"60";"2000";"8005";"2000";"1.880.365";"28814";"3325"
"9035";"Município";"4300059";"Água Santa";"61";"2000";"8005";"2000";"1.006.749";"4127";"891"
"9035";"Município";"3500303";"Aguaí";"62";"2000";"8005";"2000";"8.754.865";"28195";"2974"
"9035";"Município";"3100807";"Aguanil";"63";"2000";"8005";"2000";"753.580";"3562";"816"
"9035";"Município";"2600500";"Águas Belas";"64";"2000";"8005";"2000";"2.396.098";"36641";"4417"
"9035";"Município";"3500402";"Águas da Prata";"65";"2000";"8005";"2000";"2.440.793";"7131";"1537"
"9035";"Município";"4200507";"Águas de Chapecó";"66";"2000";"8005";"2000";"1.536.727";"5782";"1145"
"9035";"Município";"3500501";"Águas de Lindóia";"67";"2000";"8005";"2000";"6.502.376";"16190";"1536"
"9035";"Município";"3500550";"Águas de Santa Bárbara";"68";"2000";"8005";"2000";"1.580.263";"5224";"1053"
"9035";"Município";"3500600";"Águas de São Pedro";"69";"2000";"8005";"2000";"1.684.165";"1883";"332"
"9035";"Município";"3100906";"Águas Formosas";"70";"2000";"8005";"2000";"2.023.436";"17845";"1906"
"9035";"Município";"4200556";"Águas Frias";"71";"2000";"8005";"2000";"632.442";"2525";"526"
"9035";"Município";"5200258";"Águas Lindas de Goiás";"72";"2000";"8005";"2000";"15.900.853";"105746";"10035"
"9035";"Município";"4200606";"Águas Mornas";"73";"2000";"8005";"2000";"1.096.899";"5390";"1015"
"9035";"Município";"3101003";"Águas Vermelhas";"74";"2000";"8005";"2000";"1.129.533";"11878";"2398"
"9035";"Município";"4300109";"Agudo";"75";"2000";"8005";"2000";"4.877.344";"17455";"1648"
"9035";"Município";"3500709";"Agudos";"76";"2000";"8005";"2000";"8.599.928";"32484";"3235"
"9035";"Município";"4100301";"Agudos do Sul";"77";"2000";"8005";"2000";"1.093.227";"7221";"1584"
"9035";"Município";"3200136";"Águia Branca";"78";"2000";"8005";"2000";"1.630.101";"9599";"2135"
"9035";"Município";"2500205";"Aguiar";"79";"2000";"8005";"2000";"332.257";"5638";"1402"
"9035";"Município";"1700301";"Aguiarnópolis";"80";"2000";"8005";"2000";"293.444";"3145";"672"
"9035";"Município";"3101102";"Aimorés";"81";"2000";"8005";"2000";"4.492.465";"25105";"2822"
"9035";"Município";"2900603";"Aiquara";"82";"2000";"8005";"2000";"476.953";"5315";"1263"
"9035";"Município";"2300408";"Aiuaba";"83";"2000";"8005";"2000";"778.616";"14452";"3730"
"9035";"Município";"3101201";"Aiuruoca";"84";"2000";"8005";"2000";"1.446.164";"6469";"1391"
"9035";"Município";"4300208";"Ajuricaba";"85";"2000";"8005";"2000";"1.819.642";"7709";"1591"
"9035";"Município";"3101300";"Alagoa";"86";"2000";"8005";"2000";"401.971";"2800";"620"
"9035";"Município";"2500304";"Alagoa Grande";"87";"2000";"8005";"2000";"2.744.731";"29169";"2867"
"9035";"Município";"2500403";"Alagoa Nova";"88";"2000";"8005";"2000";"1.541.906";"18575";"1658"
"9035";"Município";"2500502";"Alagoinha";"89";"2000";"8005";"2000";"999.918";"11833";"2444"
"9035";"Município";"2600609";"Alagoinha";"90";"2000";"8005";"2000";"1.144.735";"12535";"2722"
"9035";"Município";"2200251";"Alagoinha do Piauí";"91";"2000";"8005";"2000";"695.468";"6868";"1660"
"9035";"Município";"2900702";"Alagoinhas";"92";"2000";"8005";"2000";"23.573.663";"130095";"13830"
"9035";"Município";"3500758";"Alambari";"93";"2000";"8005";"2000";"774.028";"3650";"774"
"9035";"Município";"3101409";"Albertina";"94";"2000";"8005";"2000";"612.671";"2841";"580"
"9035";"Município";"2100204";"Alcântara";"95";"2000";"8005";"2000";"1.285.111";"21291";"2141"
"9035";"Município";"2300507";"Alcântaras";"96";"2000";"8005";"2000";"657.046";"9548";"1881"
"9035";"Município";"2500536";"Alcantil";"97";"2000";"8005";"2000";"340.141";"4958";"1045"
"9035";"Município";"5000252";"Alcinópolis";"98";"2000";"8005";"2000";"577.853";"3679";"718"
"9035";"Município";"2900801";"Alcobaça";"99";"2000";"8005";"2000";"2.464.405";"20900";"2250"
"9035";"Município";"2100303";"Aldeias Altas";"100";"2000";"8005";"2000";"1.079.168";"18827";"2091"
"9035";"Município";"4300307";"Alecrim";"101";"2000";"8005";"2000";"1.285.237";"8487";"1642"
"9035";"Município";"3200201";"Alegre";"102";"2000";"8005";"2000";"6.883.981";"31714";"3350"
"9035";"Município";"4300406";"Alegrete";"103";"2000";"8005";"2000";"22.975.100";"84338";"8538"
"9035";"Município";"2200277";"Alegrete do Piauí";"104";"2000";"8005";"2000";"517.904";"4713";"1084"
"9035";"Município";"4300455";"Alegria";"105";"2000";"8005";"2000";"821.312";"5367";"1150"
"9035";"Município";"3101508";"Além Paraíba";"106";"2000";"8005";"2000";"9.873.920";"33610";"3424"
"9035";"Município";"1500404";"Alenquer";"107";"2000";"8005";"2000";"3.707.692";"41784";"4302"
"9035";"Município";"2400505";"Alexandria";"108";"2000";"8005";"2000";"1.105.033";"13772";"3158"
"9035";"Município";"5200308";"Alexânia";"109";"2000";"8005";"2000";"3.408.058";"20335";"2478"
"9035";"Município";"3101607";"Alfenas";"110";"2000";"8005";"2000";"23.850.515";"66957";"6783"
"9035";"Município";"3200300";"Alfredo Chaves";"111";"2000";"8005";"2000";"2.688.057";"13616";"3023"
"9035";"Município";"3500808";"Alfredo Marcondes";"112";"2000";"8005";"2000";"833.612";"3697";"844"
"9035";"Município";"3101631";"Alfredo Vasconcelos";"113";"2000";"8005";"2000";"729.689";"5101";"818"
"9035";"Município";"4200705";"Alfredo Wagner";"114";"2000";"8005";"2000";"2.363.466";"8857";"2017"
"9035";"Município";"2500577";"Algodão de Jandaíra";"115";"2000";"8005";"2000";"134.759";"2209";"428"
"9035";"Município";"2500601";"Alhandra";"116";"2000";"8005";"2000";"1.289.993";"15914";"1645"
"9035";"Município";"2600708";"Aliança";"117";"2000";"8005";"2000";"2.782.154";"37189";"4067"
"9035";"Município";"1700350";"Aliança do Tocantins";"118";"2000";"8005";"2000";"856.342";"6177";"1225"
"9035";"Município";"2900900";"Almadina";"119";"2000";"8005";"2000";"650.680";"7862";"1783"
"9035";"Município";"1700400";"Almas";"120";"2000";"8005";"2000";"952.939";"8474";"1540"
"9035";"Município";"1500503";"Almeirim";"121";"2000";"8005";"2000";"8.623.711";"33957";"3274"
"9035";"Município";"3101706";"Almenara";"122";"2000";"8005";"2000";"5.746.732";"35385";"3872"
"9035";"Município";"2400604";"Almino Afonso";"123";"2000";"8005";"2000";"411.354";"5195";"1094"
"9035";"Município";"4100400";"Almirante Tamandaré";"124";"2000";"8005";"2000";"17.443.549";"88277";"8800"
"9035";"Município";"5200506";"Aloândia";"125";"2000";"8005";"2000";"563.235";"2128";"474"
"9035";"Município";"3101805";"Alpercata";"126";"2000";"8005";"2000";"1.023.639";"6966";"1318"
"9035";"Município";"4300505";"Alpestre";"127";"2000";"8005";"2000";"1.407.105";"10266";"1997"
"9035";"Município";"3101904";"Alpinópolis";"128";"2000";"8005";"2000";"4.098.745";"17031";"2007"
"9035";"Município";"5100250";"Alta Floresta";"129";"2000";"8005";"2000";"12.424.238";"46982";"4922"
"9035";"Município";"1100015";"Alta Floresta D'Oeste";"130";"2000";"8005";"2000";"5.001.582";"26533";"2720"
"9035";"Município";"3500907";"Altair";"131";"2000";"8005";"2000";"796.863";"3554";"810"
"9035";"Município";"1500602";"Altamira";"132";"2000";"8005";"2000";"17.337.708";"77439";"7638"
"9035";"Município";"2100402";"Altamira do Maranhão";"133";"2000";"8005";"2000";"442.127";"8865";"1844"
"9035";"Município";"4100459";"Altamira do Paraná";"134";"2000";"8005";"2000";"920.842";"7037";"1616"
"9035";"Município";"2300606";"Altaneira";"135";"2000";"8005";"2000";"378.150";"5687";"1047"
"9035";"Município";"3102001";"Alterosa";"136";"2000";"8005";"2000";"2.488.340";"12976";"2837"
"9035";"Município";"2600807";"Altinho";"137";"2000";"8005";"2000";"1.856.441";"22131";"2892"
"9035";"Município";"3501004";"Altinópolis";"138";"2000";"8005";"2000";"6.065.236";"15481";"3634"
"9035";"Município";"1400050";"Alto Alegre";"139";"2000";"8005";"2000";"1.397.251";"17907";"1545"
"9035";"Município";"3501103";"Alto Alegre";"140";"2000";"8005";"2000";"887.735";"4261";"887"
"9035";"Município";"4300554";"Alto Alegre";"141";"2000";"8005";"2000";"471.117";"2137";"454"
"9035";"Município";"2100436";"Alto Alegre do Maranhão";"142";"2000";"8005";"2000";"1.289.618";"20162";"1956"
"9035";"Município";"2100477";"Alto Alegre do Pindaré";"143";"2000";"8005";"2000";"1.863.877";"30177";"2967"
"9035";"Município";"1100379";"Alto Alegre dos Parecis";"144";"2000";"8005";"2000";"1.464.679";"13070";"3374"
"9035";"Município";"5100300";"Alto Araguaia";"145";"2000";"8005";"2000";"2.515.900";"11410";"2356"
"9035";"Município";"4200754";"Alto Bela Vista";"146";"2000";"8005";"2000";"425.539";"2159";"601"
"9035";"Município";"5100359";"Alto Boa Vista";"147";"2000";"8005";"2000";"1.081.763";"6206";"1304"
"9035";"Município";"3102050";"Alto Caparaó";"148";"2000";"8005";"2000";"1.375.522";"4673";"943"
"9035";"Município";"2400703";"Alto do Rodrigues";"149";"2000";"8005";"2000";"1.401.179";"9499";"1957"
"9035";"Município";"4300570";"Alto Feliz";"150";"2000";"8005";"2000";"717.333";"2834";"578"
"9035";"Município";"5100409";"Alto Garças";"151";"2000";"8005";"2000";"2.963.656";"8335";"1855"
"9035";"Município";"5200555";"Alto Horizonte";"152";"2000";"8005";"2000";"384.479";"2564";"489"
"9035";"Município";"3153509";"Alto Jequitibá";"153";"2000";"8005";"2000";"1.537.903";"8458";"1753"
"9035";"Município";"2200301";"Alto Longá";"154";"2000";"8005";"2000";"769.841";"12000";"2487"
"9035";"Município";"5100508";"Alto Paraguai";"155";"2000";"8005";"2000";"1.110.389";"8605";"1895"
"9035";"Município";"1100403";"Alto Paraíso";"156";"2000";"8005";"2000";"2.987.400";"13118";"2581"
"9035";"Município";"5200605";"Alto Paraíso de Goiás";"157";"2000";"8005";"2000";"1.341.823";"6182";"1143"
"9035";"Município";"4100608";"Alto Paraná";"158";"2000";"8005";"2000";"2.526.323";"12717";"2783"
