Cod;Município;1970;1980;1991;2000
1200013;Acrelândia;;;;1042
1200054;Assis Brasil;;93;235;429
1200104;Brasiléia;687;1169;1582;2243
1200138;Bujari;;;;787
1200179;Capixaba;;;;604
1200203;Cruzeiro do Sul;1681;3696;4322;9363
1200252;Epitaciolândia;;;;1503
1200302;Feijó;647;1050;1054;1737
1200328;Jordão;;;;131
1200336;Mâncio Lima;;387;436;1040
1200344;Manoel Urbano;;403;250;641
1200351;Marechal Thaumaturgo;;;;373
1200385;Plácido de Castro;;1138;1060;1742
1200393;Porto Walter;;;;393
1200401;Rio Branco;6819;19991;31612;65886
1200427;Rodrigues Alves;;;;484
1200435;Santa Rosa do Purus;;;;94
1200450;Senador Guiomard;;983;1488;2989
1200500;Sena Madureira;1003;2463;1463;3134
1200609;Tarauacá;827;1700;1364;2399
1200708;Xapuri;631;1242;851;1455
1200807;Porto Acre;;;;1257
2700102;Água Branca;453;953;801;1347
2700201;Anadia;244;791;746;1512
2700300;Arapiraca;3421;12096;13875;23815
2700409;Atalaia;1646;3097;1688;3065
2700508;Barra de Santo Antônio;228;693;507;740
2700607;Barra de São Miguel;46;130;281;693
2700706;Batalha;332;928;736;1804
2700805;Belém;168;217;294;435
2700904;Belo Monte;95;301;229;383
2701001;Boca da Mata;545;1349;1107;2031
2701100;Branquinha;380;554;254;670
2701209;Cacimbinhas;175;569;654;677
2701308;Cajueiro;486;846;808;1174
2701357;Campestre;;;;466
2701407;Campo Alegre;172;1435;2007;2685
2701506;Campo Grande;32;327;335;518
2701605;Canapi;232;647;660;730
2701704;Capela;678;1220;763;1384
2701803;Carneiros;63;158;228;391
2701902;Chã Preta;145;592;300;489
2702009;Coité do Nóia;162;381;409;745
2702108;Colônia Leopoldina;421;832;619;1325
2702207;Coqueiro Seco;82;259;356;482
2702306;Coruripe;874;3077;2871;4462
2702355;Craíbas;;;684;1180
2702405;Delmiro Gouveia;648;2261;2241;4675
2702504;Dois Riachos;76;392;381;826
2702553;Estrela de Alagoas;;;;807
2702603;Feira Grande;262;1008;713;1436
2702702;Feliz Deserto;51;131;152;234
2702801;Flexeiras;497;963;464;764
2702900;Girau do Ponciano;341;976;1044;1611
2703007;Ibateguara;276;638;579;1084
2703106;Igaci;500;986;917;1201
2703205;Igreja Nova;256;653;698;1216
2703304;Inhapi;128;559;441;921
2703403;Jacaré dos Homens;119;281;232;638
2703502;Jacuípe;288;494;349;413
2703601;Japaratinga;77;244;330;581
2703700;Jaramataia;55;130;145;362
2703759;Jequiá da Praia;;;;
2703809;Joaquim Gomes;485;1263;912;1303
2703908;Jundiá;344;704;731;291
2704005;Junqueiro;426;1790;996;1912
2704104;Lagoa da Canoa;226;613;618;1206
2704203;Limoeiro de Anadia;345;800;703;1518
2704302;Maceió;22859;69437;107605;222232
2704401;Major Isidoro;335;789;814;1071
2704500;Maragogi;508;799;698;1565
2704609;Maravilha;154;613;357;639
2704708;Marechal Deodoro;502;1369;1322;3929
2704807;Maribondo;357;997;825;1550
2704906;Mar Vermelho;94;119;152;260
