Valor Total dos Rendimentos recebidos
Sigla,Código,Município,1970,1980,1991,2000,
AC,1200013,Acrelândia,,,,1042.3834261349,
AC,1200054,Assis Brasil,,93.1009960978,234.5568781961,429.2221666106,
AC,1200104,Brasiléia,687.294533548,1168.751027901,1581.5666740393,2243.2492197717,
AC,1200138,Bujari,,,,786.6815828794,
AC,1200179,Capixaba,,,,603.835515482,
AC,1200203,Cruzeiro do Sul,1681.3496209388,3695.7235626453,4321.9921883531,9363.3159742031,
AC,1200252,Epitaciolândia,,,,1503.420009265,
AC,1200302,Feijó,646.660143341,1050.0421736184,1053.9055504062,1737.0793588989,
AC,1200328,Jordão,,,,130.7838314018,
AC,1200336,Mâncio Lima,,386.9232988808,435.5075579716,1040.2388777272,
AC,1200344,Manoel Urbano,,402.960430709,249.7905195503,640.6658546707,
AC,1200351,Marechal Thaumaturgo,,,,372.6509179825,
AC,1200385,Plácido de Castro,,1137.8416518637,1060.4132848303,1741.7729237061,
AC,1200393,Porto Walter,,,,392.9971981298,
AC,1200401,Rio Branco,6818.5738112642,19991.4489721916,31612.435272424,65886.1387525034,
AC,1200427,Rodrigues Alves,,,,483.6473633067,
AC,1200435,Santa Rosa do Purus,,,,93.7281242294,
AC,1200450,Senador Guiomard,,982.6222472278,1487.9258264295,2988.6602406302,
AC,1200500,Sena Madureira,1003.1249013316,2463.3094706167,1462.7707096901,3134.3754832271,
AC,1200609,Tarauacá,826.6627018155,1700.0471800311,1364.2142857348,2398.579608723,
AC,1200708,Xapuri,631.2402998187,1241.5329142148,850.5044825961,1455.4922556775,
AC,1200807,Porto Acre,,,,1256.568344494,
AL,2700102,Água Branca,452.5270776397,952.8747120633,800.8605210823,1347.2989949669,
AL,2700201,Anadia,243.7454505479,791.3739469909,746.0380393423,1511.7363674483,
AL,2700300,Arapiraca,3421.0972840902,12095.8870182202,13875.0608416841,23814.8743631216,
AL,2700409,Atalaia,1646.3055764088,3096.6566154394,1687.602031062,3064.531047313,
AL,2700508,Barra de Santo Antônio,228.0037562112,693.0489010469,507.2660303248,739.9997349474,
AL,2700607,Barra de São Miguel,46.1097201277,129.5194271794,281.1616726095,692.5716378462,
AL,2700706,Batalha,332.3607415934,927.5287844535,736.1471132348,1804.2775808563,
AL,2700805,Belém,167.552827723,216.9882886417,293.6657404989,435.3128000879,
AL,2700904,Belo Monte,95.4350488425,300.705574842,229.180690715,382.9324004446,
AL,2701001,Boca da Mata,544.7117232124,1348.5911897126,1107.4483506553,2030.9572309419,
AL,2701100,Branquinha,380.4933859089,553.6803734665,254.4446673382,669.9910101433,
AL,2701209,Cacimbinhas,175.3912965061,568.6884667183,654.0175052448,676.9526490587,
AL,2701308,Cajueiro,485.8768144289,846.331829553,808.4866331512,1173.846281383,
AL,2701357,Campestre,,,,466.3718156085,
AL,2701407,Campo Alegre,171.639269895,1435.3899013954,2007.4334245344,2684.7232991294,
AL,2701506,Campo Grande,31.9714807493,327.4343668495,334.9904892664,518.142729023,
AL,2701605,Canapi,232.0573367385,646.8904251613,659.9463889649,729.6045705218,
AL,2701704,Capela,678.4151238427,1220.215815784,762.6146563437,1384.1910197368,
AL,2701803,Carneiros,63.2277374665,158.0243826931,228.3570934836,390.9674647938,
AL,2701902,Chã Preta,144.6472948388,592.2218490862,299.66056191,488.8878667716,
AL,2702009,Coité do Nóia,161.7981738223,380.6716890262,408.6547465213,744.9447530505,
AL,2702108,Colônia Leopoldina,421.2408588346,832.1523168905,618.7065649022,1325.0619946093,
AL,2702207,Coqueiro Seco,81.9927031168,259.4355586543,355.880693158,481.8766041934,
AL,2702306,Coruripe,873.7573047656,3077.3802545904,2870.7981514601,4462.1058004546,
AL,2702355,Craíbas,,,683.7035465628,1180.2590450442,
AL,2702405,Delmiro Gouveia,647.578336355,2261.3109499436,2241.139418876,4675.4843749556,
AL,2702504,Dois Riachos,76.2322501024,391.6640809913,381.1529382044,825.8341566484,
AL,2702553,Estrela de Alagoas,,,,806.8954272263,
AL,2702603,Feira Grande,261.7333349526,1007.5447667064,713.3409271047,1435.8105880692,
AL,2702702,Feliz Deserto,51.0080382279,130.8002255747,151.8323419717,234.1351940221,
