Código;Município;renda_1970;renda_1980;renda_1991;renda_2000
1200013;Acrelândia;;;;10,423,834,261,349
1200054;Assis Brasil;;931,009,960,978;2,345,568,781,961;4,292,221,666,106
1200104;Brasiléia;687,294,533,548;1,168,751,027,901;15,815,666,740,393;22,432,492,197,717
1200138;Bujari;;;;7,866,815,828,794
1200179;Capixaba;;;;603,835,515,482
1200203;Cruzeiro do Sul;16,813,496,209,388;36,957,235,626,453;43,219,921,883,531;93,633,159,742,031
1200252;Epitaciolândia;;;;1,503,420,009,265
1200302;Feijó;646,660,143,341;10,500,421,736,184;10,539,055,504,062;17,370,793,588,989
1200328;Jordão;;;;1,307,838,314,018
1200336;Mâncio Lima;;3,869,232,988,808;4,355,075,579,716;10,402,388,777,272
1200344;Manoel Urbano;;402,960,430,709;2,497,905,195,503;6,406,658,546,707
1200351;Marechal Thaumaturgo;;;;3,726,509,179,825
1200385;Plácido de Castro;;11,378,416,518,637;10,604,132,848,303;17,417,729,237,061
1200393;Porto Walter;;;;3,929,971,981,298
1200401;Rio Branco;68,185,738,112,642;199,914,489,721,916;31,612,435,272,424;658,861,387,525,034
1200427;Rodrigues Alves;;;;4,836,473,633,067
1200435;Santa Rosa do Purus;;;;937,281,242,294
1200450;Senador Guiomard;;9,826,222,472,278;14,879,258,264,295;29,886,602,406,302
1200500;Sena Madureira;10,031,249,013,316;24,633,094,706,167;14,627,707,096,901;31,343,754,832,271
1200609;Tarauacá;8,266,627,018,155;17,000,471,800,311;13,642,142,857,348;2,398,579,608,723
1200708;Xapuri;6,312,402,998,187;12,415,329,142,148;8,505,044,825,961;14,554,922,556,775
1200807;Porto Acre;;;;1,256,568,344,494
2700102;Água Branca;4,525,270,776,397;9,528,747,120,633;8,008,605,210,823;13,472,989,949,669
2700201;Anadia;2,437,454,505,479;7,913,739,469,909;7,460,380,393,423;15,117,363,674,483
2700300;Arapiraca;34,210,972,840,902;120,958,870,182,202;138,750,608,416,841;238,148,743,631,216
2700409;Atalaia;16,463,055,764,088;30,966,566,154,394;1,687,602,031,062;3,064,531,047,313
2700508;Barra de Santo Antônio;2,280,037,562,112;6,930,489,010,469;5,072,660,303,248;7,399,997,349,474
2700607;Barra de São Miguel;461,097,201,277;1,295,194,271,794;2,811,616,726,095;6,925,716,378,462
2700706;Batalha;3,323,607,415,934;9,275,287,844,535;7,361,471,132,348;18,042,775,808,563
2700805;Belém;167,552,827,723;2,169,882,886,417;2,936,657,404,989;4,353,128,000,879
2700904;Belo Monte;954,350,488,425;300,705,574,842;229,180,690,715;3,829,324,004,446
2701001;Boca da Mata;5,447,117,232,124;13,485,911,897,126;11,074,483,506,553;20,309,572,309,419
2701100;Branquinha;3,804,933,859,089;5,536,803,734,665;2,544,446,673,382;6,699,910,101,433
2701209;Cacimbinhas;1,753,912,965,061;5,686,884,667,183;6,540,175,052,448;6,769,526,490,587
2701308;Cajueiro;4,858,768,144,289;846,331,829,553;8,084,866,331,512;1,173,846,281,383
2701357;Campestre;;;;4,663,718,156,085
2701407;Campo Alegre;171,639,269,895;14,353,899,013,954;20,074,334,245,344;26,847,232,991,294
2701506;Campo Grande;319,714,807,493;3,274,343,668,495;3,349,904,892,664;518,142,729,023
2701605;Canapi;2,320,573,367,385;6,468,904,251,613;6,599,463,889,649;7,296,045,705,218
2701704;Capela;6,784,151,238,427;1,220,215,815,784;7,626,146,563,437;13,841,910,197,368
2701803;Carneiros;632,277,374,665;1,580,243,826,931;2,283,570,934,836;3,909,674,647,938
2701902;Chã Preta;1,446,472,948,388;5,922,218,490,862;29,966,056,191;4,888,878,667,716
2702009;Coité do Nóia;1,617,981,738,223;3,806,716,890,262;4,086,547,465,213;7,449,447,530,505
2702108;Colônia Leopoldina;4,212,408,588,346;8,321,523,168,905;6,187,065,649,022;13,250,619,946,093
